start,text
0.04,in this video I'm going to explain how
1.439,to train for Pure muscle growth and I'm
3.36,going to lay out five crucial
4.96,bodybuilding principles that must be
6.68,followed to maximize your muscular
8.36,development this video isn't about how
10.0,to get stronger it isn't about how to
11.519,get both bigger and stronger this video
13.759,is about maximizing pure muscle
17.08,gain chapter one tension is
21.4,King okay so the first non-negotiable
24.039,principle is that tension is King at
26.48,this point tension is universally
28.199,recognized as the primary factor driving
30.439,muscle growth tension is the force that
32.0,our muscles experience when they stretch
33.879,and contract under load if you think of
35.92,each muscle fiber as a rope in a tug of
37.8,war that stretching and pulling on the
39.84,rope is tension that tension then causes
42.36,a biochemical signaling Cascade that
44.32,ultimately tells the muscle it needs to
45.96,grow bigger so how do we maximize
47.84,tension on a muscle well answering that
50.16,question leads us into the four
51.84,remaining
53.359,principles chapter 2 use bodybuilding
57.519,technique to ensure maximum tension we
60.0,need to perform exercises using a
62.12,specific type of technique that I'm
64.0,calling bodybuilding technique this
66.0,technique is different from powerlifting
67.68,technique and it's different from how
69.2,most people lift I was at an LA Fitness
71.04,Gym the other day and I noticed just how
72.96,few people actually use bodybuilding
74.92,technique almost nobody was taking all
77.04,the boxes the first box is lifting tempo
79.759,for bodybuilding we generally want a
81.36,controlled 2 to 4 second negative if
83.799,you're used to just letting the weight
85.079,free fall this will feel quite slow at
87.04,first but this is important because
88.52,research shows that the lower phase or
90.68,the Ecentric is very likely more
93.0,important for muscle growth in the
94.52,positive phase or concentric yet for
96.96,whatever reason most people lift as if
99.159,the opposite were true most people just
100.96,try to get the weight up and then forget
103.0,about lowering it back down especially
105.159,as they get tired toward the end of a
106.88,set but this is a mistake because the
108.68,Reps toward the end of a set are the
110.399,most hypertrophic and the negative is
112.64,the most important part of each rep so
115.0,you really want to control and resist
116.799,the negative especially on those last
118.64,few reps new res search also indicates
120.68,that for muscle hypertrophy slower
122.479,Ecentric movements should be paired with
124.759,faster concentric movements this means
126.96,that while you want to go nice and slow
128.36,on the negative you should be more
129.959,forceful and explosive on the positive
132.48,so if I'm doing a hack squat I'm
134.0,thinking control control control on the
136.48,way down and then speed as I explode on
139.519,the way up on lateral raises I'm
141.16,resisting the weight on the way down and
142.879,then driving the dumbbells up and out
144.599,forcefully on the positive the same
146.68,tempo should apply to most exercises in
148.68,your routine next bodybuilding technique
150.76,means using a proper range of motion
152.959,usually this means using a full range of
154.64,motion so you get to at least parallel
156.599,on squat type exercises and ideally a
158.8,bit below parallel you bring the
160.2,dumbbells all the way down on presses
162.08,until you feel a nice deep stretch in
163.64,your pecs and on pull-ups you go all the
165.44,way up and all the way down however
167.319,there is some important Nuance here
168.879,because recently a number of Studies
170.28,have shown that full range of motion
172.08,isn't always better for muscle growth
173.72,partial reps are sometimes more
175.04,effective but only when they're done in
176.76,the stretched aspect of the lift in
178.76,other words the stretch stretched part
180.48,is more hypertrophic than the squeezed
182.56,part so the bottom half of a cable curl
184.92,is more important than the top half of a
186.76,cable curl the bottom half of a squat is
189.12,more important than the top half of a
190.799,squat so you may not necessarily always
192.84,need to use a full range of motion but
194.599,you do need to get the muscle
195.76,sufficiently stretched while lifting to
197.68,maximize hypertrophy so if you're not
199.519,feeling a deep stretch at the bottom of
201.04,the range of motion you should try to
202.64,find that stretch by going a bit deeper
204.72,if going deeper causes you pain or
206.319,serious discomfort you can work on any
